Week,Month,Day,Time,Year,Model,Market,Factors,ExpName[i],Alpha,card(tot_iis_indices),Price,TSS,TCS,TPF,MV,CSL,CSLM,CSUM,CSH,PL,PLM,PUM,PH,g[1],g[2],g[3],g[4],g[5],g[6],g[7],g[8],g[9],g[10],g[11],g[12],g[13],g[14],g[15],g[16],g[17],g[18],g[19],g[20],g[21],g[22],g[23],g[24],g[25],g[26],g[27],g[28],g[29],g[30],g[31],g[32],g[33],g[34],g[35],g[36],g[37],g[38],g[39],g[40],g[41],g[42],g[43],g[44],g[45],g[46],g[47],g[48],g[49],g[50],g[51],g[52],Prod,Cos
Fri,May,1,0.605289352,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e23.dat,1,0,Average,16912455463,7549878747,8894943565,33586212515,888756079.5,2000967307,2196175825,2463979535,1421859123,3480082504,3221566374,2826978997,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.605393519,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e24.dat,1,0,Average,16981171266,7417938644,8837053089,33711025104,625854402.8,2349004378,2019417122,2423662741,1450034086,3700921810,3188150868,2917614596,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.605509259,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e25.dat,1,0,Average,16951624070,7499931735,8822799848,33675152603,737656805,2119377646,2266941539,2375955744,1047939444,3745841972,3291587530,2910433961,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.605625,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e26.dat,1,0,Average,16836571316,7336778052,8770966686,33514459889,747376597.2,2084275275,2134619548,2370506631,1186761699,3749260712,3184133353,2847305906,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.605740741,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e27.dat,1,0,Average,16969945310,7547378475,8850265407,33740897901,772887846.8,2146486876,2190601546,2437402206,1467296292,3437098311,3160462784,2817459529,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,,
Fri,May,1,0.605856481,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e28.dat,1,0,Average,16936713676,7331495640,8893305465,33610118414,684698505.9,2004188783,2165959120,2476649231,1285851141,3848376268,3300576688,2842931751,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,,
Fri,May,1,0.605972222,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e29.dat,1,0,Average,17074213415,7513607275,8930238063,33810944800,715478709.4,2152180099,2211490716,2434457752,1282703268,3753915898,3300457978,2871877640,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.606087963,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e30.dat,1,0,Average,17035773374,7703215412,8963247927,33793373952,797669168.7,2144729343,2242487444,2518329457,1421579843,3352099159,3196056906,2884611977,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,,
Fri,May,1,0.606203704,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e31.dat,1,0,Average,16849916596,7538612529,8876475423,33452874176,845579891.7,2207388825,2059966368,2425677445,1273398372,3696209237,3147730872,2838172300,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.606331019,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e32.dat,1,0,Average,17001390716,7374763371,8919333677,33713091075,629273607.2,2062246306,2191314911,2491928546,1520800307,3777189843,3177975359,2839544514,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.606458333,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e33.dat,1,0,Average,16930284192,7400607740,8855004754,33575046498,852572888,1975725308,2164076026,2408233518,1484329622,3563215083,3237124441,2872544253,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,,
Fri,May,1,0.6065625,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e34.dat,1,0,Average,16691120178,7557943653,8835398936,33110348533,767501279.2,2180655676,2171356314,2438430384,1173130518,3702741242,3141132484,2803462350,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.606689815,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e35.dat,1,0,Average,16899139744,7512850408,8857205550,33522105817,860544284.3,2146767031,2054738195,2450800898,1460056818,3406207909,3230651392,2815832864,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,,
Fri,May,1,0.606805556,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e36.dat,1,0,Average,17044649221,7409019915,8866816209,33824094315,756193230,2049410850,2298901447,2304514388,1282707443,3819934432,3238466962,3004105454,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,,
Fri,May,1,0.606909722,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e37.dat,1,0,Average,16873925067,7291204739,8820963176,33493474669,660965945,2052532140,2191114202,2386592452,1405055609,3773065143,3215728022,2893766521,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,,
Fri,May,1,0.607037037,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e38.dat,1,0,Average,17021695766,7561770459,8873485846,33736923317,848606265.2,2196106663,2050451399,2466606132,1458166070,3730526809,2914829569,2837252794,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.607164352,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e39.dat,1,0,Average,17085804523,7358424217,8898909923,33896841329,713037876.4,2042706520,2124874889,2477804932,1484813121,3776180560,3168723127,2888861386,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.607280093,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e40.dat,1,0,Average,16945559056,7448994333,8800331581,33600908339,781786046.7,2183825271,1987656774,2495726240,1051616208,3738508217,3398432880,2902236959,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.607407407,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e41.dat,1,0,Average,16967947084,7557899695,8946235036,33714243549,833319106.4,1963717313,2311700261,2449163014,1472351994,3483559570,3205080388,2840786518,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.607523148,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e42.dat,1,0,Average,16979395737,7668539290,8803838826,33734426474,841328893.4,2165346615,2190960108,2470903674,1442039556,3153934102,3251283524,2835935641,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.607627315,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e43.dat,1,0,Average,17048923620,7673383583,8875207801,33856043776,762410657.9,2187941849,2241317027,2481714050,1405445509,3404226149,3203293870,2847309932,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,,
Fri,May,1,0.60775463,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e44.dat,1,0,Average,17073524003,7544652721,8869014837,33920862806,742884311,2151789077,2183372034,2466607298,1546564671,3263046840,3181032169,2875184777,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.60787037,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e45.dat,1,0,Average,16874641823,7560269079,8785055444,33561877757,783400543.3,2195592076,2167438310,2413838150,1459187155,3343782766,3148200006,2818953175,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.607986111,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e46.dat,1,0,Average,16983396187,7484412022,8815483245,33700163736,752666932.6,2380612977,1892070019,2459062094,1235492900,3717944523,3284874064,2855888478,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,,
Fri,May,1,0.608090278,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e47.dat,1,0,Average,16988315169,7504539661,8787064477,33669861478,900681556.7,2090741259,2062844586,2450272258,1516764496,3178127140,3321084124,2826632150,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.608206019,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e48.dat,1,0,Average,16989099013,7435171136,8857971182,33809862581,768918140.1,2115729753,2062714508,2487808736,1533119393,3444206175,3293525117,2854091255,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,,
Fri,May,1,0.608333333,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e49.dat,1,0,Average,16973889464,7332570145,8824432392,33631930759,691819377.3,2324067595,1882524820,2434158353,1339072664,3675008850,3455596377,2880136434,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.608460648,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e50.dat,1,0,Average,16983235537,7519679920,8849314637,33711865897,756999388.2,2103981909,2191708946,2466989677,1301280119,3549296225,3291181340,2880560011,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,,
Fri,May,1,0.608576389,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e51.dat,1,0,Average,17039696823,7306851610,8872451255,33815533347,722341839.7,2222022338,2100844365,2261643068,1411379269,3710972731,3310826152,2952909073,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,,
Fri,May,1,0.608680556,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e52.dat,1,0,Average,16936319176,7601469824,8901743267,33620028307,894932509.2,2222581595,2047517628,2436438091,1475266415,3375262585,3219449003,2840324847,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.60880787,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e53.dat,1,0,Average,16990778533,7465773905,8878953579,33761332684,809976920.3,2024271292,2250040467,2381485226,1460393252,3599195247,3284077687,2802258151,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.608935185,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e54.dat,1,0,Average,16974057747,7595285594,8949426717,33703162280,817758643.7,2066848651,2194488958,2516189341,1425467233,3443562867,3229424721,2883023404,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
Fri,May,1,0.6090625,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e55.dat,1,0,Average,17044302792,7396575641,8892389186,33861625802,629507176.2,2092311447,2172433553,2502323466,1524313712,3651002364,3237253527,2887741890,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,,
