Week,Month,Day,Time,Year,Model,Market,Factors,ExpName[i],Alpha,card(tot_iis_indices),Price,TSS,TCS,TPF,MV,CSL,CSLM,CSUM,CSH,PL,PLM,PUM,PH,TSS/MV,TCS/MV,TPF/MV,MV/MV,CSL/MV,CSLM/MV,CSUM/MV,CSH/MV,PL/MV,PLM/MV,PUM/MV,PH/MV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:14:02,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e7.dat,1,2,Average,17011577340,7420371276,8834226524,33849713085,742442245.6,2076818731,2150976174,2450134125,1072302018,3849452802,3245966976,2862999711,0.502561936,0.21921519,0.260983793,1,0.021933487,0.061354101,0.063544886,0.072382715,0.031678319,0.113721874,0.095893486,0.084579733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:14:12,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e8.dat,1,0,Low,17037337451,16806134136,231203314.4,33853040196,1721176708,4897274363,4794025833,5393657233,353494091.5,780542963.6,785273329.1,238230776.3,0.503273483,0.496443866,0.006829617,1,0.050842604,0.144662764,0.14161286,0.159325638,0.010442019,0.023056806,0.023196538,0.007037205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:14:12,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e8.dat,1,0,High,17037337451,-9568608.795,17046906060,33853040196,-9568608.795,0,0,0,2084239408,5677817326,5579299162,5631888009,0.503273483,-0.000282651,0.503556134,1,-0.000282651,0,0,0,0.061567274,0.167719569,0.164809398,0.166362843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:14:12,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e8.dat,1,0,Average,17037337451,7397053726,8852048112,33853040196,725399105.5,2102881214,2138385455,2430387951,1325839075,3739398618,3344189303,2874035349,0.503273483,0.218504858,0.261484583,1,0.021427887,0.062117943,0.063166718,0.07179231,0.03916455,0.110459758,0.098785494,0.084897408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:14:22,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e9.dat,1,1,Low,16803247485,16481001266,322246219.1,33294450266,1810762670,4928648293,4553922992,5187667311,333836697.3,774458963.3,878883346.3,261405058.3,0.504686137,0.49500746,0.009678677,1,0.054386321,0.148032127,0.136777239,0.155811773,0.010026797,0.023260903,0.026397293,0.00785131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:14:22,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e9.dat,1,1,High,16803247485,-10201514.42,16813449000,33294450266,-10201514.42,0,0,0,2154800882,5703107257,5432806339,5449072369,0.504686137,-0.000306403,0.50499254,1,-0.000306403,0,0,0,0.064719521,0.17129303,0.163174532,0.163663083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:14:22,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e9.dat,1,1,Average,16803247485,7237804057,8824572783,33294450266,806277209.2,2084015884,1914958001,2432552963,1263763673,3888095391,3282356468,2857009371,0.504686137,0.217387703,0.265046358,1,0.024216565,0.062593491,0.057515832,0.073061815,0.037957187,0.116779084,0.098585693,0.085810378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:14:31,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e10.dat,1,0,Low,17033128813,16791149017,241979795.9,33834676344,2015844094,4759056289,4796414309,5219834326,376764613.6,740006183.2,734929861.1,316616984,0.503422248,0.496270419,0.007151828,1,0.059579234,0.140656179,0.141760313,0.154274694,0.011135458,0.021871236,0.021721203,0.009357766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:14:31,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e10.dat,1,0,High,17033128813,-10398514.45,17043527327,33834676344,-10398514.45,0,0,0,2403007222,5499062472,5531344170,5536451310,0.503422248,-0.000307333,0.503729581,1,-0.000307333,0,0,0,0.071022025,0.162527415,0.163481516,0.16363246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,Apr,21,11:14:31,2020,Benchmark,4,1,Test_m4_ul1.0_uh1.1_i1.1_-1-1_e10.dat,1,0,Average,17033128813,7473611313,8835014567,33834676344,878528764.2,2101025992,2015906576,2478149981,1420642594,3429141466,3385523937,2890169252,0.503422248,0.220886148,0.26112307,1,0.025965337,0.062096825,0.059581081,0.073242905,0.04198777,0.101349912,0.100060775,0.085420331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
